,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation
4482,466983,Female,Yes,41,Yes,Artist,8.0,Average,2,3
1634,459660,Female,No,22,No,Healthcare,2.0,Low,6,4
7835,464301,Female,Yes,51,Yes,Doctor,0.0,Average,3,2
7721,460104,Male,No,53,Yes,Entertainment,1.0,Low,3,1
1083,461772,Female,Yes,41,Yes,Engineer,1.0,Average,3,2
6586,460633,Male,Yes,37,Yes,Lawyer,0.0,High,2,1
618,461263,Female,Yes,48,Yes,Artist,1.0,Low,1,1
1639,463614,Female,No,26,No,Healthcare,1.0,Low,4,3
634,462167,Female,Yes,35,No,Healthcare,2.0,Low,1,1
4331,465862,Female,Yes,50,Yes,Artist,8.0,Average,1,1
1091,464460,Female,No,26,Yes,Healthcare,1.0,Low,2,4
2623,465657,Female,Yes,53,Yes,Artist,0.0,Average,2,3
1510,460573,Male,No,62,No,Healthcare,8.0,Low,1,3
2955,466081,Female,Yes,25,Yes,Artist,8.0,Average,2,3
3388,459767,Male,No,21,No,Healthcare,4.0,Low,4,4
7824,464366,Male,Yes,55,Yes,Entertainment,2.0,Average,2,3
2356,465989,Female,No,28,No,Healthcare,9.0,Low,2,4
3052,461193,Female,No,41,Yes,Marketing,1.0,Low,1,4
371,467531,Male,Yes,75,Yes,Lawyer,2.0,Low,1,4
849,467048,Female,Yes,65,Yes,Lawyer,0.0,High,3,2
7717,463998,Female,No,27,No,Engineer,0.0,Low,3,2
7048,465021,Male,Yes,62,Yes,Entertainment,0.0,Average,3,3
7089,466941,Male,Yes,81,Yes,Lawyer,1.0,High,2,2
1397,464032,Male,No,20,No,Healthcare,1.0,Low,3,4
3143,463343,Male,Yes,35,Yes,Artist,2.0,Low,3,2
3941,464521,Male,No,26,No,Doctor,2.0,Low,4,2
2471,460660,Male,No,41,Yes,Entertainment,6.0,Low,1,1
7428,466347,Male,Yes,71,No,Executive,5.0,Low,3,2
4523,460495,Male,No,21,No,Healthcare,0.0,Low,6,4
3960,463619,Male,Yes,70,No,Executive,1.0,High,2,1
6166,465753,Female,Yes,49,Yes,Artist,6.0,Low,2,3
7919,465389,Male,Yes,46,Yes,Artist,1.0,Low,2,2
150,464972,Male,Yes,67,No,Lawyer,0.0,High,9,1
3153,463529,Male,No,37,Yes,Marketing,2.0,Low,1,1
1990,463367,Female,No,35,Yes,Engineer,4.0,Low,4,3
3854,460404,Male,Yes,38,Yes,Artist,5.0,Low,7,1
2403,460783,Male,Yes,82,Yes,Lawyer,0.0,Low,1,2
146,464904,Female,Yes,28,No,Engineer,9.0,Average,2,1
341,465192,Male,Yes,55,No,Artist,0.0,Low,1,1
2549,460419,Female,Yes,41,No,Doctor,1.0,Low,1,1
4338,467571,Male,No,23,No,Marketing,0.0,Low,3,3
1797,463211,Male,Yes,68,Yes,Lawyer,8.0,Low,1,1
3834,462201,Female,No,32,Yes,Healthcare,0.0,Low,1,4
5346,460288,Male,Yes,61,Yes,Healthcare,1.0,Average,7,2
7630,461360,Female,Yes,30,Yes,Healthcare,0.0,Average,4,4
448,462417,Male,No,30,No,Healthcare,4.0,Low,4,4
92,465179,Female,Yes,61,Yes,Artist,1.0,High,2,3
679,462395,Male,Yes,53,Yes,Artist,1.0,High,2,4
2456,462199,Female,No,33,No,Healthcare,8.0,Low,3,4
5784,466816,Male,Yes,81,Yes,Lawyer,1.0,High,2,2
3128,459359,Male,Yes,46,Yes,Entertainment,0.0,Average,4,3
4754,464055,Male,Yes,32,Yes,Doctor,0.0,Low,2,4
3163,467598,Male,Yes,68,Yes,Artist,1.0,Low,1,1
6207,464859,Female,Yes,45,Yes,Artist,1.0,Average,3,2
4604,466715,Male,Yes,72,Yes,Executive,1.0,High,4,3
4610,459764,Male,Yes,48,Yes,Artist,1.0,Average,2,2
1809,459159,Male,Yes,80,Yes,Lawyer,1.0,Low,1,1
625,462437,Male,No,18,No,Healthcare,0.0,Low,6,4
451,467520,Male,No,22,No,Healthcare,0.0,Low,2,4
7788,461480,Female,Yes,63,Yes,Artist,1.0,High,3,3
3110,459825,Male,No,22,No,Healthcare,0.0,Low,5,4
6114,464955,Female,Yes,38,No,Engineer,1.0,Average,6,2
5770,462147,Female,Yes,82,Yes,Lawyer,0.0,Low,1,1
267,464868,Male,Yes,36,Yes,Entertainment,6.0,Low,6,1
4056,466212,Female,Yes,53,Yes,Artist,0.0,Average,3,3
4917,467436,Male,Yes,51,Yes,Artist,5.0,Average,4,3
2192,466344,Male,No,43,Yes,Entertainment,0.0,Low,2,1
3849,459226,Female,Yes,43,Yes,Artist,0.0,Average,2,3
1163,464919,Male,Yes,39,Yes,Artist,9.0,Low,1,1
296,460834,Male,Yes,25,No,Doctor,1.0,Low,2,1
5741,462685,Female,No,32,No,Healthcare,1.0,Low,3,4
5562,466470,Male,Yes,67,Yes,Homemaker,1.0,Average,2,2
2513,467028,Male,No,27,Yes,Artist,0.0,Low,1,4
2348,463541,Female,No,26,No,Healthcare,0.0,Low,3,2
4464,464537,Male,Yes,41,Yes,Artist,8.0,Average,3,1
1150,463290,Female,No,25,No,Healthcare,1.0,Low,5,2
4987,459074,Female,No,30,Yes,Healthcare,0.0,Low,4,3
4413,467825,Female,No,21,No,Marketing,1.0,Low,8,3
4874,460096,Female,Yes,78,No,Lawyer,1.0,Low,1,1
951,461998,Male,Yes,52,Yes,Artist,0.0,Average,2,3
3303,467117,Male,No,48,Yes,Artist,0.0,Low,1,1
2708,460923,Male,Yes,49,Yes,Artist,1.0,Average,3,3
2432,463488,Female,No,29,No,Engineer,9.0,Low,4,1
301,466999,Male,No,27,Yes,Healthcare,1.0,Low,3,4
1005,459393,Female,No,40,No,Healthcare,8.0,Low,3,4
7150,463869,Female,Yes,52,Yes,Doctor,0.0,Average,4,3
3804,467439,Male,Yes,37,Yes,Entertainment,1.0,Low,4,1
3620,462453,Male,No,22,No,Healthcare,9.0,Low,5,4
5177,466012,Male,Yes,56,Yes,Artist,2.0,Average,3,2
6614,462680,Male,Yes,42,Yes,Doctor,1.0,Average,4,3
7608,467007,Female,Yes,35,No,Engineer,0.0,High,1,1
4544,459704,Male,Yes,41,Yes,Artist,1.0,Average,3,2
7834,465784,Female,No,19,No,Healthcare,0.0,Low,4,4
2956,467336,Female,Yes,63,Yes,Artist,0.0,Average,4,3
7820,461446,Female,Yes,66,Yes,Lawyer,1.0,High,2,3
7699,462628,Female,Yes,28,No,Artist,0.0,Average,3,4
5321,463640,Male,No,28,Yes,Healthcare,1.0,Low,3,4
2539,462607,Female,Yes,37,No,Engineer,2.0,Average,3,4
846,461227,Male,No,21,No,Healthcare,0.0,Low,4,4
1351,462367,Male,Yes,56,Yes,Artist,1.0,Average,3,2
5405,463822,Male,Yes,56,Yes,Artist,0.0,Average,4,3
408,466557,Female,No,21,No,Healthcare,7.0,Low,2,4
6790,460101,Female,No,31,Yes,Healthcare,9.0,Low,3,4
337,460255,Female,No,38,Yes,Doctor,14.0,Low,1,1
5225,460038,Female,No,36,Yes,Engineer,9.0,Low,5,4
3513,464277,Male,No,25,Yes,Artist,2.0,Low,1,1
5093,464128,Male,Yes,52,No,Entertainment,0.0,Average,4,2
5309,464052,Male,No,36,Yes,Artist,0.0,Low,1,1
869,460594,Female,No,26,Yes,Homemaker,9.0,Low,2,4
2336,464421,Female,Yes,27,No,Marketing,0.0,High,4,4
2493,460575,Female,No,27,No,Artist,0.0,Low,2,4
5343,466985,Female,Yes,45,No,Engineer,0.0,Average,7,1
2301,467189,Female,Yes,46,Yes,Artist,1.0,High,4,3
6009,465935,Male,No,27,Yes,Entertainment,9.0,Low,1,1
1886,467088,Male,Yes,57,Yes,Artist,0.0,Low,1,1
2958,459389,Female,No,26,Yes,Engineer,9.0,Low,8,1
5553,461493,Female,Yes,33,Yes,Artist,8.0,Average,3,1
7012,461860,Female,Yes,81,Yes,Lawyer,1.0,High,2,3
4019,462483,Male,Yes,63,Yes,Lawyer,1.0,Average,2,3
4077,463208,Male,Yes,57,Yes,Executive,1.0,Average,5,3
2116,464720,Male,Yes,46,No,Doctor,0.0,Average,3,4
3511,462492,Male,Yes,36,No,Artist,1.0,Average,4,2
4910,466878,Male,Yes,38,No,Artist,8.0,High,5,1
2876,463263,Female,Yes,70,Yes,Engineer,0.0,High,2,2
5970,466124,Female,No,47,Yes,Artist,0.0,Low,1,2
3480,459333,Male,No,29,Yes,Healthcare,1.0,Low,2,4
4086,461082,Male,No,23,No,Healthcare,8.0,Low,4,4
2774,460581,Male,Yes,27,Yes,Healthcare,2.0,Average,2,1
1485,464339,Male,No,26,No,Artist,0.0,Low,2,4
7634,466622,Female,No,47,Yes,Entertainment,1.0,Low,1,1
7267,462590,Female,Yes,30,No,Engineer,0.0,Average,3,4
5303,466167,Male,Yes,56,No,Lawyer,1.0,Low,2,2
7571,465478,Male,Yes,51,No,Entertainment,1.0,Low,3,1
5884,464776,Female,Yes,47,No,Engineer,4.0,Average,5,2
3356,467200,Female,No,75,Yes,Lawyer,0.0,Low,2,3
1149,462284,Male,Yes,53,Yes,Executive,1.0,Average,4,2
287,461197,Male,No,28,No,Marketing,0.0,Low,1,4
2520,466766,Male,Yes,73,Yes,Lawyer,1.0,High,4,3
5119,459380,Male,Yes,62,Yes,Artist,1.0,Low,1,1
721,463302,Female,Yes,58,Yes,Engineer,0.0,High,4,2
3361,466489,Male,Yes,55,Yes,Homemaker,1.0,Average,4,3
280,461167,Male,Yes,29,Yes,Marketing,1.0,High,2,1
867,464642,Female,Yes,26,Yes,Engineer,6.0,High,7,4
4648,466255,Male,Yes,45,Yes,Entertainment,0.0,Low,4,3
3519,463569,Female,Yes,59,No,Marketing,1.0,Average,4,4
1411,459421,Male,Yes,29,No,Healthcare,0.0,Average,4,1
6723,464846,Male,No,25,No,Entertainment,8.0,Low,2,4
1267,464809,Male,Yes,46,Yes,Entertainment,1.0,Average,5,2
4001,465610,Female,No,42,Yes,Artist,8.0,Low,2,3
1203,463022,Male,Yes,60,Yes,Executive,4.0,High,3,3
629,461668,Male,Yes,50,Yes,Artist,3.0,Average,4,3
1236,466302,Female,Yes,47,No,Homemaker,3.0,High,3,2
724,462071,Male,Yes,43,No,Doctor,0.0,Low,2,1
6164,460570,Male,No,25,Yes,Marketing,1.0,Low,5,3
1773,466948,Male,Yes,58,Yes,Artist,1.0,Low,2,2
5513,464070,Male,No,39,Yes,Artist,5.0,Low,2,2
4880,467115,Male,Yes,89,Yes,Lawyer,0.0,Low,2,2
1167,465174,Female,Yes,70,Yes,Entertainment,1.0,High,2,2
4809,461155,Female,Yes,51,Yes,Artist,3.0,Low,2,2
4858,465125,Female,No,39,Yes,Artist,9.0,Low,1,1
783,460799,Female,No,37,No,Homemaker,1.0,Low,1,4
4950,466171,Female,Yes,79,Yes,Lawyer,0.0,Low,1,1
1704,466240,Male,No,21,No,Healthcare,0.0,Low,3,4
1927,465000,Male,Yes,50,Yes,Executive,1.0,High,3,3
1658,464916,Female,Yes,31,No,Doctor,9.0,High,2,1
7052,462534,Male,No,38,Yes,Artist,2.0,Low,1,1
6157,465819,Female,No,42,Yes,Engineer,1.0,Low,7,1
3113,465999,Female,Yes,32,No,Lawyer,8.0,Low,1,4
7346,466928,Female,No,26,Yes,Healthcare,0.0,Low,7,4
7447,460684,Male,Yes,62,No,Entertainment,8.0,Low,2,2
1983,464563,Male,Yes,42,Yes,Artist,0.0,Average,2,2
5173,465016,Male,Yes,78,No,Executive,0.0,High,2,2
3998,466524,Female,Yes,46,Yes,Artist,0.0,Low,1,2
686,461394,Female,No,21,No,Engineer,0.0,Low,5,4
4354,464340,Male,Yes,67,Yes,Artist,1.0,High,2,2
2607,466699,Female,Yes,40,Yes,Artist,8.0,Low,1,2
710,462076,Male,Yes,75,Yes,Lawyer,1.0,Low,2,4
4126,462003,Male,Yes,79,No,Lawyer,9.0,Low,3,4
4534,461019,Male,No,18,No,Healthcare,0.0,Low,3,4
1661,465631,Male,No,35,Yes,Artist,9.0,Low,1,1
1198,459469,Male,Yes,30,Yes,Healthcare,0.0,Low,6,1
6674,465394,Male,No,32,Yes,Engineer,0.0,Low,3,2
3887,462151,Female,No,35,Yes,Artist,8.0,Low,1,2
7437,464108,Female,Yes,60,Yes,Engineer,1.0,Average,3,3
6469,467953,Female,Yes,37,Yes,Artist,0.0,Low,3,1
6991,459804,Male,Yes,45,No,Artist,3.0,High,4,3
7573,461262,Female,No,27,No,Engineer,1.0,Low,7,1
3070,463210,Male,Yes,84,Yes,Lawyer,1.0,Low,1,1
3516,460998,Male,No,27,Yes,Artist,0.0,Low,3,2
4847,464409,Female,Yes,81,Yes,Lawyer,0.0,Average,2,1
5647,465162,Male,Yes,58,Yes,Artist,1.0,Average,3,2
6239,464397,Female,Yes,40,Yes,Engineer,0.0,Average,2,3
6782,459647,Female,No,43,Yes,Engineer,1.0,Low,2,2
641,464878,Male,No,22,No,Healthcare,0.0,Low,4,4
5831,463606,Male,No,22,No,Marketing,0.0,Low,4,3
3770,464149,Male,Yes,38,Yes,Artist,1.0,Average,4,3
2941,465121,Female,No,32,Yes,Artist,6.0,Low,1,2
57,462267,Male,No,32,Yes,Doctor,8.0,Low,2,4
7683,466244,Female,No,30,No,Healthcare,3.0,Low,3,2
7416,461638,Male,Yes,70,Yes,Entertainment,0.0,High,2,1
4026,467359,Male,Yes,41,Yes,Artist,6.0,Average,2,3
3482,459011,Male,Yes,88,No,Lawyer,1.0,Low,1,1
2971,459769,Male,No,42,Yes,Marketing,1.0,Low,2,4
7838,466114,Male,Yes,52,Yes,Entertainment,1.0,Average,5,3
6421,461522,Male,Yes,83,No,Executive,1.0,High,2,4
3594,467513,Female,Yes,36,No,Engineer,1.0,Average,4,4
3740,464700,Male,No,25,No,Doctor,2.0,Low,1,4
6548,466785,Male,No,41,Yes,Marketing,0.0,Low,2,4
2253,460313,Male,No,32,Yes,Artist,13.0,Low,3,1
1520,465054,Male,Yes,67,Yes,Executive,1.0,High,3,3
161,460258,Female,No,25,Yes,Healthcare,1.0,Low,5,4
3033,462203,Male,Yes,72,No,Executive,2.0,High,7,1
696,459325,Male,Yes,26,No,Executive,9.0,High,4,4
4408,464330,Male,No,38,Yes,Artist,1.0,Low,2,1
1205,462345,Male,Yes,46,Yes,Doctor,1.0,Average,6,2
3056,467006,Female,No,73,Yes,Lawyer,0.0,Low,1,2
1260,465014,Male,Yes,83,No,Lawyer,1.0,Low,1,1
6871,462218,Male,Yes,53,No,Executive,0.0,Average,5,2
6779,463111,Female,No,42,Yes,Engineer,6.0,Low,3,4
5026,467737,Female,Yes,51,Yes,Entertainment,7.0,Average,2,1
5370,462421,Male,No,53,Yes,Artist,0.0,Low,2,1
7263,467498,Male,Yes,56,Yes,Lawyer,1.0,Low,3,4
6375,464425,Male,No,40,Yes,Artist,8.0,Low,1,2
229,459888,Female,Yes,74,No,Lawyer,1.0,High,2,4
5590,459895,Male,Yes,38,Yes,Homemaker,9.0,Average,2,3
1752,459729,Female,No,41,Yes,Healthcare,1.0,Low,1,4
1755,465439,Female,Yes,45,Yes,Artist,4.0,High,4,3
6031,467149,Male,Yes,43,Yes,Artist,9.0,Average,3,1
7292,459112,Female,Yes,72,Yes,Lawyer,1.0,High,2,3
7001,461087,Female,Yes,29,No,Artist,0.0,Average,2,1
6446,467124,Male,Yes,57,No,Lawyer,1.0,Average,2,2
401,467759,Female,Yes,48,Yes,Doctor,0.0,Low,2,3
1458,466358,Female,No,28,No,Engineer,0.0,Low,4,1
7076,460037,Female,No,42,Yes,Entertainment,5.0,Low,7,1
2349,462431,Male,No,32,No,Entertainment,9.0,Low,4,1
7031,466409,Male,Yes,51,Yes,Artist,0.0,Average,5,3
2028,461154,Male,No,21,No,Homemaker,0.0,Low,4,1
3098,466133,Female,No,21,No,Healthcare,7.0,Low,5,4
3600,460838,Male,No,40,Yes,Artist,0.0,Low,2,1
2716,467570,Male,No,18,No,Healthcare,14.0,Low,2,4
4830,461705,Female,No,32,No,Healthcare,1.0,Low,4,4
3530,461111,Female,Yes,42,Yes,Doctor,8.0,Low,1,1
4106,463310,Male,Yes,60,Yes,Entertainment,0.0,Low,2,1
2801,464520,Male,Yes,46,No,Entertainment,8.0,Low,2,4
3807,462753,Male,Yes,28,No,Executive,0.0,Average,3,4
1668,465423,Male,Yes,51,Yes,Entertainment,0.0,Average,4,3
85,461671,Male,No,32,No,Healthcare,7.0,Low,5,4
317,463229,Female,No,22,No,Marketing,0.0,Low,1,2
3396,463326,Female,No,23,No,Healthcare,0.0,Low,3,4
924,460531,Female,No,35,No,Healthcare,0.0,Low,5,3
1465,465652,Female,Yes,31,No,Marketing,0.0,Low,2,4
6747,460992,Male,Yes,57,No,Executive,0.0,High,4,1
7631,466900,Female,Yes,46,Yes,Artist,9.0,Average,4,3
7587,465167,Female,Yes,42,Yes,Artist,9.0,Average,3,3
2746,463442,Male,Yes,42,Yes,Executive,1.0,Low,2,4
4766,463905,Female,Yes,27,Yes,Engineer,0.0,Average,4,1
3720,462838,Female,Yes,32,Yes,Homemaker,0.0,Low,3,2
3226,467760,Female,Yes,53,Yes,Artist,4.0,Average,5,3
4003,462876,Male,No,27,No,Doctor,0.0,Low,4,4
1284,459355,Female,Yes,78,No,Homemaker,0.0,Low,1,1
2106,459634,Female,No,39,Yes,Engineer,1.0,Low,3,2
5186,466808,Female,No,43,No,Engineer,0.0,Low,1,1
4435,465581,Male,Yes,38,Yes,Artist,0.0,Low,4,1
6758,467477,Male,Yes,43,Yes,Healthcare,5.0,Average,2,4
6235,465474,Male,No,27,No,Marketing,8.0,Low,4,4
7945,460227,Male,No,33,No,Healthcare,1.0,Low,3,3
4307,461874,Male,Yes,48,Yes,Doctor,0.0,Average,3,1
2650,463368,Female,Yes,42,Yes,Artist,3.0,High,3,3
5710,459986,Male,Yes,60,Yes,Artist,0.0,Low,1,2
3212,461969,Female,Yes,46,No,Engineer,9.0,Average,1,1
6657,460409,Female,No,43,Yes,Artist,8.0,Low,4,4
4050,459516,Female,Yes,63,Yes,Artist,1.0,Average,2,3
1900,462639,Female,Yes,43,No,Engineer,0.0,Average,2,4
5095,466055,Male,Yes,52,Yes,Entertainment,1.0,Average,3,2
7041,467472,Male,Yes,59,Yes,Executive,3.0,High,4,2
6489,462355,Male,Yes,61,No,Entertainment,1.0,Low,2,1
1024,463278,Female,Yes,59,Yes,Engineer,0.0,Low,1,2
1379,462215,Female,No,20,No,Marketing,1.0,Low,3,4
4301,460283,Male,Yes,43,Yes,Doctor,14.0,Low,2,1
7299,467261,Female,Yes,77,Yes,Lawyer,0.0,High,2,3
1497,466444,Male,Yes,50,Yes,Doctor,1.0,Average,4,3
1174,461530,Male,Yes,42,Yes,Engineer,1.0,Low,2,1
985,466051,Male,No,25,No,Executive,3.0,Low,1,1
6641,464687,Male,Yes,36,Yes,Artist,9.0,Average,5,4
4894,461377,Female,Yes,57,Yes,Artist,1.0,Low,1,2
1338,467588,Male,Yes,63,Yes,Artist,0.0,Average,4,3
6939,466175,Male,Yes,25,Yes,Doctor,1.0,Low,2,3
4114,464295,Female,No,30,No,Healthcare,7.0,Low,6,3
3786,465085,Male,Yes,83,Yes,Lawyer,0.0,High,2,1
4912,466691,Male,No,18,No,Healthcare,5.0,Low,4,4
1438,465184,Female,Yes,46,No,Engineer,1.0,Average,5,3
4908,467420,Male,Yes,52,Yes,Executive,1.0,High,4,3
6644,466617,Female,No,23,No,Healthcare,4.0,Low,3,4
1425,464057,Male,No,32,Yes,Marketing,0.0,Low,5,2
6159,459275,Female,No,18,No,Doctor,2.0,Low,4,4
4875,462129,Female,No,41,Yes,Artist,9.0,Low,1,2
968,463729,Female,No,32,No,Artist,3.0,Low,5,2
6856,465280,Female,Yes,37,Yes,Artist,0.0,Low,1,3
3308,459253,Male,Yes,36,Yes,Artist,1.0,Average,4,3
1745,462565,Male,Yes,49,Yes,Artist,1.0,Average,4,3
3938,463185,Female,Yes,58,Yes,Artist,1.0,Average,2,3
7257,461835,Female,Yes,60,Yes,Artist,1.0,Average,2,3
5551,462763,Male,No,23,No,Healthcare,0.0,Low,4,4
5695,464851,Male,No,18,No,Doctor,0.0,Low,6,4
3165,463143,Female,Yes,52,Yes,Entertainment,1.0,Low,2,2
6561,459152,Female,No,40,Yes,Artist,8.0,Low,2,2
6502,460690,Female,No,51,No,Homemaker,8.0,Low,2,1
5240,464387,Female,No,27,Yes,Artist,9.0,Low,5,2
539,459149,Male,Yes,43,No,Executive,0.0,High,4,2
1463,465649,Female,Yes,43,Yes,Marketing,6.0,Low,1,1
1735,467351,Male,Yes,41,No,Artist,8.0,Average,2,3
1216,461739,Female,Yes,46,Yes,Artist,1.0,Low,2,3
3810,463217,Female,Yes,33,Yes,Healthcare,2.0,High,1,1
2158,462822,Male,No,19,No,Healthcare,0.0,Low,4,4
2234,459875,Male,Yes,71,No,Lawyer,0.0,High,2,1
2064,463904,Male,Yes,77,Yes,Executive,1.0,Low,1,4
1998,466679,Female,No,43,Yes,Artist,8.0,Low,2,2
982,467003,Female,Yes,61,Yes,Artist,0.0,Low,2,3
6770,465924,Female,No,28,Yes,Marketing,0.0,Low,2,4
7332,461401,Male,Yes,43,Yes,Artist,1.0,Average,3,1
1110,460745,Male,Yes,78,No,Lawyer,1.0,High,2,1
2289,466052,Female,Yes,37,Yes,Homemaker,5.0,Low,2,4
8012,466405,Female,Yes,43,Yes,Entertainment,0.0,Average,2,1
2715,459765,Female,No,35,Yes,Engineer,4.0,Low,1,1
1495,467308,Female,No,28,Yes,Doctor,0.0,Low,3,3
2058,464649,Male,Yes,39,No,Entertainment,1.0,Average,4,1
3552,464151,Male,No,40,Yes,Doctor,12.0,Low,1,4
5660,467132,Female,Yes,66,Yes,Engineer,0.0,Low,2,2
6156,464200,Female,No,32,No,Healthcare,1.0,Low,3,4
1719,461726,Female,Yes,53,Yes,Artist,1.0,Average,4,3
5804,462021,Male,Yes,35,No,Engineer,1.0,Low,6,1
4616,467639,Male,Yes,50,Yes,Entertainment,0.0,Average,4,2
1860,466147,Female,Yes,52,No,Artist,0.0,Average,4,3
2251,463602,Female,No,21,No,Healthcare,8.0,Low,4,4
1482,465295,Female,Yes,37,Yes,Doctor,8.0,Average,1,1
3991,462833,Male,Yes,33,No,Doctor,0.0,Average,5,4
3234,460361,Female,Yes,47,Yes,Artist,0.0,Low,1,2
7011,465203,Male,No,32,Yes,Healthcare,2.0,Low,3,3
1568,460743,Male,Yes,55,Yes,Artist,0.0,Average,3,3
1712,462200,Female,Yes,52,Yes,Doctor,1.0,Low,3,2
1849,463085,Female,No,35,Yes,Artist,0.0,Low,1,1
5279,461856,Female,Yes,45,Yes,Artist,3.0,High,4,3
1599,462780,Male,Yes,21,No,Healthcare,1.0,High,8,2
1370,462987,Female,Yes,84,Yes,Lawyer,2.0,High,2,3
1028,465574,Male,Yes,62,Yes,Artist,1.0,Average,3,2
5120,466783,Female,No,43,Yes,Healthcare,0.0,Low,6,1
4954,467502,Female,No,26,No,Healthcare,1.0,Low,6,4
91,460956,Female,Yes,47,Yes,Artist,1.0,Average,4,3
7515,459291,Female,No,38,Yes,Entertainment,0.0,Low,1,1
720,463102,Male,No,41,No,Entertainment,0.0,Low,2,4
5867,463125,Male,No,29,No,Healthcare,0.0,Low,6,2
2885,467290,Female,No,23,No,Healthcare,0.0,Low,2,4
1204,464704,Male,Yes,42,Yes,Healthcare,0.0,Average,4,2
3850,460961,Male,No,20,No,Healthcare,1.0,Low,2,4
3435,467497,Male,Yes,51,Yes,Artist,1.0,Low,3,4
4553,466882,Male,No,36,Yes,Artist,0.0,Low,2,1
3873,462302,Female,No,25,No,Doctor,0.0,Low,7,4
4547,465402,Male,No,31,No,Healthcare,0.0,Low,2,4
5957,461961,Female,Yes,32,Yes,Artist,8.0,Low,3,2
1776,466014,Female,Yes,47,No,Engineer,0.0,High,2,1
5345,467718,Female,No,20,No,Healthcare,2.0,Low,6,4
5528,459806,Female,Yes,50,No,Engineer,1.0,Average,4,2
2494,461509,Male,Yes,40,Yes,Artist,1.0,Average,3,2
7420,462900,Male,Yes,39,Yes,Artist,0.0,Average,3,2
2382,460642,Male,No,19,No,Healthcare,13.0,Low,3,4
1332,461892,Female,No,35,Yes,Healthcare,0.0,Low,1,4
4369,461768,Male,Yes,69,Yes,Artist,0.0,High,2,3
7826,467466,Female,No,19,No,Doctor,6.0,Low,2,1
6414,459093,Female,Yes,39,Yes,Doctor,8.0,Average,2,3
6431,461620,Male,No,52,Yes,Entertainment,1.0,Low,2,2
7581,466271,Male,No,33,No,Entertainment,1.0,Low,3,2
885,464121,Female,Yes,62,Yes,Engineer,1.0,Low,1,2
1460,459179,Male,Yes,60,No,Entertainment,0.0,Average,3,2
1365,462137,Male,No,28,Yes,Doctor,1.0,Low,1,1
514,465165,Male,No,61,Yes,Artist,0.0,Low,1,2
5742,464238,Male,Yes,87,Yes,Lawyer,0.0,High,2,1
81,463814,Female,No,26,No,Healthcare,6.0,Low,3,4
3765,463847,Male,Yes,41,No,Artist,2.0,Average,3,3
4963,465731,Female,Yes,31,Yes,Artist,0.0,Average,2,1
3592,461741,Male,Yes,67,Yes,Lawyer,1.0,High,2,2
3796,459461,Female,Yes,39,Yes,Artist,0.0,Low,1,3
